"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.02002,1,0,0,-3,-5,0
0.020006,1,0,0,-2.9236,-5,0
0.019957,1.0001,0,0,-2.8471,-5,0
0.019864,1.0002,0,0,-2.7707,-5,0
0.019725,1.0003,0,0,-2.6943,-5,0
0.019543,1.0005,0,0,-2.6179,-5,0
0.019316,1.0008,0,0,-2.5414,-5,0
0.019043,1.0011,0,0,-2.465,-5,0
0.018721,1.0014,0,0,-2.3886,-5,0
0.018351,1.0018,0,0,-2.3121,-5,0
0.017934,1.0022,0,0,-2.2357,-5,0
0.017471,1.0027,0,0,-2.1593,-5,0
0.016963,1.0033,0,0,-2.0828,-5,0
0.016412,1.0039,0,0,-2.0064,-5,0
0.015819,1.0045,0,0,-1.93,-5,0
0.015186,1.0051,0,0,-1.8536,-5,0
0.014515,1.0058,0,0,-1.7771,-5,0
0.013807,1.0066,0,0,-1.7007,-5,0
0.013066,1.0074,0,0,-1.6243,-5,0
0.012293,1.0082,0,0,-1.5478,-5,0
0.01149,1.009,0,0,-1.4714,-5,0
0.01066,1.0099,0,0,-1.395,-5,0
0.0098063,1.0108,0,0,-1.3185,-5,0
0.0089302,1.0118,0,0,-1.2421,-5,0
0.0080352,1.0127,0,0,-1.1657,-5,0
0.0071239,1.0137,0,0,-1.0893,-5,0
0.0061993,1.0147,0,0,-1.0128,-5,0
0.0052645,1.0157,0,0,-0.9364,-5,0
0.0043226,1.0168,0,0,-0.85997,-5,0
0.0033768,1.0178,0,0,-0.78354,-5,0
0.0024293,1.0189,0,0,-0.70711,-5,0
0.020109,1,0,0,-3,-4.8569,0
0.020094,1,-6.6575e-05,0,-2.9236,-4.8569,0
0.020045,1.0001,-0.0001448,0,-2.8471,-4.8569,0
0.019951,1.0002,-0.00023173,0,-2.7707,-4.8569,0
0.019812,1.0003,-0.00032292,0,-2.6943,-4.8569,0
0.019629,1.0005,-0.00041608,0,-2.6179,-4.8569,0
0.019401,1.0008,-0.00050957,0,-2.5414,-4.8569,0
0.019126,1.0011,-0.00060246,0,-2.465,-4.8569,0
0.018802,1.0014,-0.00069427,0,-2.3886,-4.8569,0
0.018431,1.0018,-0.00078471,0,-2.3121,-4.8569,0
0.018011,1.0023,-0.00087352,0,-2.2357,-4.8569,0
0.017546,1.0027,-0.00096048,0,-2.1593,-4.8569,0
0.017035,1.0033,-0.0010454,0,-2.0828,-4.8569,0
0.016481,1.0039,-0.0011279,0,-2.0064,-4.8569,0
