"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.0036257,1,0,0,-3,-5,0
-0.0036315,1,0,0,-2.949,-5,0
-0.0036515,1,0,0,-2.8981,-5,0
-0.0036885,1.0001,0,0,-2.8471,-5,0
-0.0037418,1.0001,0,0,-2.7962,-5,0
-0.0038113,1.0002,0,0,-2.7452,-5,0
-0.0038987,1.0003,0,0,-2.6943,-5,0
-0.0040056,1.0004,0,0,-2.6433,-5,0
-0.0041329,1.0005,0,0,-2.5924,-5,0
-0.0042805,1.0007,0,0,-2.5414,-5,0
-0.0044481,1.0009,0,0,-2.4905,-5,0
-0.0046355,1.0011,0,0,-2.4395,-5,0
-0.0048422,1.0013,0,0,-2.3886,-5,0
-0.005068,1.0015,0,0,-2.3376,-5,0
-0.0053126,1.0018,0,0,-2.2867,-5,0
-0.0055754,1.002,0,0,-2.2357,-5,0
-0.005856,1.0023,0,0,-2.1847,-5,0
-0.006154,1.0026,0,0,-2.1338,-5,0
-0.0064689,1.0029,0,0,-2.0828,-5,0
-0.0068,1.0033,0,0,-2.0319,-5,0
-0.0071469,1.0036,0,0,-1.9809,-5,0
-0.0075089,1.004,0,0,-1.93,-5,0
-0.0078853,1.0044,0,0,-1.879,-5,0
-0.0082756,1.0048,0,0,-1.8281,-5,0
-0.0086789,1.0052,0,0,-1.7771,-5,0
-0.0090946,1.0056,0,0,-1.7262,-5,0
-0.009522,1.006,0,0,-1.6752,-5,0
-0.0099601,1.0064,0,0,-1.6243,-5,0
-0.010408,1.0069,0,0,-1.5733,-5,0
-0.010866,1.0073,0,0,-1.5224,-5,0
-0.011331,1.0078,0,0,-1.4714,-5,0
-0.011804,1.0083,0,0,-1.4205,-5,0
-0.012284,1.0087,0,0,-1.3695,-5,0
-0.012769,1.0092,0,0,-1.3185,-5,0
-0.013258,1.0097,0,0,-1.2676,-5,0
-0.013752,1.0102,0,0,-1.2166,-5,0
-0.014248,1.0107,0,0,-1.1657,-5,0
-0.014746,1.0112,0,0,-1.1147,-5,0
-0.015244,1.0117,0,0,-1.0638,-5,0
-0.015742,1.0122,0,0,-1.0128,-5,0
-0.016239,1.0127,0,0,-0.96187,-5,0
-0.016733,1.0132,0,0,-0.91092,-5,0
-0.017224,1.0137,0,0,-0.85997,-5,0
-0.01771,1.0141,0,0,-0.80901,-5,0
-0.018191,1.0146,0,0,-0.75806,-5,0
-0.018666,1.0151,0,-1.0125e-22,-0.70711,-5,0
-0.0035889,1,0,0,-3,-4.9046,0
-0.0035947,1,-2.309e-05,0,-2.949,-4.9046,0
-0.0036147,1,-5.2598e-05,0,-2.8981,-4.9046,0
-0.0036518,1.0001,-8.6884e-05,0,-2.8471,-4.9046,0
-0.0037052,1.0001,-0.00012383,0,-2.7962,-4.9046,0
-0.003775,1.0002,-0.00016192,0,-2.7452,-4.9046,0
-0.0038626,1.0003,-0.00020013,0,-2.6943,-4.9046,0
-0.0039698,1.0004,-0.00023804,0,-2.6433,-4.9046,0
-0.0040975,1.0005,-0.00027551,0,-2.5924,-4.9046,0
-0.0042456,1.0007,-0.00031246,0,-2.5414,-4.9046,0
-0.0044137,1.0009,-0.00034881,0,-2.4905,-4.9046,0
-0.0046017,1.0011,-0.00038451,0,-2.4395,-4.9046,0
-0.0048091,1.0013,-0.00041948,0,-2.3886,-4.9046,0
-0.0050356,1.0015,-0.00045368,0,-2.3376,-4.9046,0
-0.0052809,1.0018,-0.00048703,0,-2.2867,-4.9046,0
-0.0055445,1.002,-0.0005195,0,-2.2357,-4.9046,0
-0.0058261,1.0023,-0.00055101,0,-2.1847,-4.9046,0
-0.006125,1.0026,-0.00058153,0,-2.1338,-4.9046,0
-0.0064409,1.003,-0.00061099,0,-2.0828,-4.9046,0
-0.0067731,1.0033,-0.00063936,0,-2.0319,-4.9046,0
-0.0071211,1.0036,-0.0006666,0,-1.9809,-4.9046,0
-0.0074842,1.004,-0.00069265,0,-1.93,-4.9046,0
-0.0078619,1.0044,-0.00071749,0,-1.879,-4.9046,0
-0.0082534,1.0048,-0.00074107,0,-1.8281,-4.9046,0
-0.0086581,1.0052,-0.00076337,0,-1.7771,-4.9046,0
-0.0090752,1.0056,-0.00078436,0,-1.7262,-4.9046,0
-0.0095039,1.006,-0.00080401,0,-1.6752,-4.9046,0
-0.0099435,1.0065,-0.0008223,0,-1.6243,-4.9046,0
-0.010393,1.0069,-0.00083921,0,-1.5733,-4.9046,0
-0.010852,1.0074,-0.00085472,0,-1.5224,-4.9046,0
-0.011319,1.0078,-0.00086882,0,-1.4714,-4.9046,0
-0.011794,1.0083,-0.00088149,0,-1.4205,-4.9046,0
-0.012275,1.0088,-0.00089274,0,-1.3695,-4.9046,0
-0.012762,1.0092,-0.00090254,0,-1.3185,-4.9046,0
-0.013253,1.0097,-0.0009109,0,-1.2676,-4.9046,0
-0.013748,1.0102,-0.00091782,0,-1.2166,-4.9046,0
-0.014246,1.0107,-0.00092329,0,-1.1657,-4.9046,0
-0.014746,1.0112,-0.00092732,0,-1.1147,-4.9046,0
-0.015246,1.0117,-0.0009299,0,-1.0638,-4.9046,0
-0.015746,1.0122,-0.00093105,0,-1.0128,-4.9046,0
-0.016244,1.0127,-0.00093076,0,-0.96187,-4.9046,0
-0.016741,1.0132,-0.00092903,0,-0.91092,-4.9046,0
-0.017233,1.0137,-0.00092584,0,-0.85997,-4.9046,0
-0.017722,1.0142,-0.00092116,0,-0.80901,-4.9046,0
-0.018204,1.0147,-0.00091494,0,-0.75806,-4.9046,0
-0.018682,1.0152,-0.00090541,-3.043e-22,-0.70711,-4.9046,0
-0.003478,1,0,0,-3,-4.8092,0
-0.0034838,1,-4.6326e-05,0,-2.949,-4.8092,0
-0.003504,1,-0.00010552,0,-2.8981,-4.8092,0
-0.0035414,1.0001,-0.00017431,0,-2.8471,-4.8092,0
-0.0035953,1.0001,-0.00024842,0,-2.7962,-4.8092,0
-0.0036657,1.0002,-0.00032484,0,-2.7452,-4.8092,0
-0.0037541,1.0003,-0.00040149,0,-2.6943,-4.8092,0
-0.0038623,1.0004,-0.00047755,0,-2.6433,-4.8092,0
-0.0039912,1.0006,-0.00055272,0,-2.5924,-4.8092,0
-0.0041406,1.0007,-0.00062685,0,-2.5414,-4.8092,0
-0.0043103,1.0009,-0.00069978,0,-2.4905,-4.8092,0
-0.0045,1.0011,-0.0007714,0,-2.4395,-4.8092,0
-0.0047093,1.0013,-0.00084156,0,-2.3886,-4.8092,0
-0.0049379,1.0015,-0.00091017,0,-2.3376,-4.8092,0
-0.0051855,1.0018,-0.00097709,0,-2.2867,-4.8092,0
-0.0054516,1.0021,-0.0010422,0,-2.2357,-4.8092,0
-0.0057358,1.0024,-0.0011054,0,-2.1847,-4.8092,0
-0.0060376,1.0027,-0.0011667,0,-2.1338,-4.8092,0
-0.0063564,1.003,-0.0012258,0,-2.0828,-4.8092,0
-0.0066918,1.0033,-0.0012827,0,-2.0319,-4.8092,0
-0.0070431,1.0037,-0.0013373,0,-1.9809,-4.8092,0
-0.0074098,1.004,-0.0013896,0,-1.93,-4.8092,0
-0.0077911,1.0044,-0.0014394,0,-1.879,-4.8092,0
-0.0081865,1.0048,-0.0014867,0,-1.8281,-4.8092,0
-0.0085951,1.0052,-0.0015314,0,-1.7771,-4.8092,0
-0.0090163,1.0056,-0.0015735,0,-1.7262,-4.8092,0
-0.0094493,1.0061,-0.0016129,0,-1.6752,-4.8092,0
-0.0098933,1.0065,-0.0016496,0,-1.6243,-4.8092,0
-0.010347,1.007,-0.0016835,0,-1.5733,-4.8092,0
-0.010811,1.0074,-0.0017146,0,-1.5224,-4.8092,0
-0.011283,1.0079,-0.0017429,0,-1.4714,-4.8092,0
-0.011762,1.0084,-0.0017683,0,-1.4205,-4.8092,0
-0.012249,1.0088,-0.0017908,0,-1.3695,-4.8092,0
-0.01274,1.0093,-0.0018105,0,-1.3185,-4.8092,0
-0.013237,1.0098,-0.0018272,0,-1.2676,-4.8092,0
-0.013737,1.0103,-0.001841,0,-1.2166,-4.8092,0
-0.01424,1.0108,-0.001852,0,-1.1657,-4.8092,0
-0.014745,1.0113,-0.00186,0,-1.1147,-4.8092,0
-0.015251,1.0118,-0.0018652,0,-1.0638,-4.8092,0
-0.015756,1.0123,-0.0018675,0,-1.0128,-4.8092,0
-0.01626,1.0128,-0.0018669,0,-0.96187,-4.8092,0
-0.016762,1.0133,-0.0018635,0,-0.91092,-4.8092,0
-0.01726,1.0138,-0.0018572,0,-0.85997,-4.8092,0
-0.017754,1.0143,-0.0018482,0,-0.80901,-4.8092,0
-0.018243,1.0148,-0.0018362,0,-0.75806,-4.8092,0
-0.018727,1.0153,-0.0018163,-4.6661e-23,-0.70711,-4.8092,0
