"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0074949,1,0,0,-2.8908,-5,0.001
0.0075272,1,0,0,-3,-5,0.001
0.0076915,1,-0.00016884,0,-2.8908,-4.7956,0.001
0.0077242,1,0,0,-3,-4.7956,0.001
0.0073822,1.0002,0,0,-2.7816,-5,0.001
0.0075773,1.0002,-0.00035132,0,-2.7816,-4.7956,0.001
0.0082821,1.0001,-0.00034105,0,-2.8908,-4.5912,0.001
0.0083161,1,0,0,-3,-4.5912,0.001
0.0071687,1.0004,0,0,-2.6724,-5,0.001
0.0073614,1.0004,-0.00054622,0,-2.6724,-4.7956,0.001
0.0081642,1.0002,-0.00070981,0,-2.7816,-4.5912,0.001
0.0092772,1.0001,-0.00052027,0,-2.8908,-4.3867,0.001
0.009313,1,0,0,-3,-4.3867,0.001
0.0068509,1.0008,0,0,-2.5633,-5,0.001
0.0070403,1.0008,-0.00074452,0,-2.5633,-4.7956,0.001
0.0079417,1.0004,-0.0011038,0,-2.6724,-4.5912,0.001
0.0091536,1.0002,-0.001083,0,-2.7816,-4.3867,0.001
0.010699,1.0001,-0.00071004,0,-2.8908,-4.1823,0.001
0.010737,1,0,0,-3,-4.1823,0.001
0.006432,1.0012,0,0,-2.4541,-5,0.001
0.006617,1.0012,-0.00094204,0,-2.4541,-4.7956,0.001
0.0076109,1.0008,-0.0015047,0,-2.5633,-4.5912,0.001
0.0089207,1.0005,-0.0016844,0,-2.6724,-4.3867,0.001
0.010568,1.0002,-0.0014782,0,-2.7816,-4.1823,0.001
0.012579,1.0001,-0.00091376,0,-2.8908,-3.9779,0.001
0.012619,1,0,0,-3,-3.9779,0.001
0.0059141,1.0018,0,0,-2.3449,-5,0.001
0.0060937,1.0018,-0.0011358,0,-2.3449,-4.7956,0.001
0.007175,1.0013,-0.0019041,0,-2.4541,-4.5912,0.001
0.0085746,1.0008,-0.0022966,0,-2.5633,-4.3867,0.001
0.010321,1.0005,-0.0022995,0,-2.6724,-4.1823,0.001
0.012438,1.0002,-0.0019026,0,-2.7816,-3.9779,0.001
0.014953,1.0001,-0.0011347,0,-2.8908,-3.7735,0.001
0.014997,1,0,0,-3,-3.7735,0.001
0.0052975,1.0024,0,0,-2.2357,-5,0.001
0.0054706,1.0025,-0.0013236,0,-2.2357,-4.7956,0.001
0.0066361,1.0018,-0.0022962,0,-2.3449,-4.5912,0.001
0.0081182,1.0013,-0.002907,0,-2.4541,-4.3867,0.001
0.0099534,1.0009,-0.0031362,0,-2.5633,-4.1823,0.001
0.012172,1.0005,-0.0029604,0,-2.6724,-3.9779,0.001
0.0148,1.0002,-0.002363,0,-2.7816,-3.7735,0.001
0.017865,1.0001,-0.0013758,0,-2.8908,-3.569,0.001
0.017913,1,0,0,-3,-3.569,0.001
0.0045823,1.0032,0,0,-2.1265,-5,0.001
0.0047479,1.0032,-0.0015036,0,-2.1265,-4.7956,0.001
0.0059943,1.0025,-0.0026762,0,-2.2357,-4.5912,0.001
0.0075538,1.0019,-0.0035065,0,-2.3449,-4.3867,0.001
0.0094686,1.0014,-0.0039709,0,-2.4541,-4.1823,0.001
0.011777,1.001,-0.004039,0,-2.5633,-3.9779,0.001
0.014513,1.0006,-0.0036782,0,-2.6724,-3.7735,0.001
0.017699,1.0003,-0.0028661,0,-2.7816,-3.569,0.001
0.021366,1.0001,-0.0016398,0,-2.8908,-3.3646,0.001
0.021418,1,0,0,-3,-3.3646,0.001
0.0037706,1.004,0,0,-2.0173,-5,0.001
0.0039276,1.0041,-0.0016744,0,-2.0173,-4.7956,0.001
0.0052495,1.0033,-0.0030406,0,-2.1265,-4.5912,0.001
0.0068812,1.0027,-0.0040878,0,-2.2357,-4.3867,0.001
0.0088684,1.0021,-0.0047913,0,-2.3449,-4.1823,0.001
0.011256,1.0015,-0.005116,0,-2.4541,-3.9779,0.001
0.014084,1.001,-0.0050205,0,-2.5633,-3.7735,0.001
0.017386,1.0006,-0.0044631,0,-2.6724,-3.569,0.001
0.021185,1.0003,-0.0034172,0,-2.7816,-3.3646,0.001
0.02551,1.0001,-0.0019285,0,-2.8908,-3.1602,0.001
0.025567,1,0,0,-3,-3.1602,0.001
0.0028665,1.005,0,0,-1.9081,-5,0.001
0.0030137,1.005,-0.0018348,0,-1.9081,-4.7956,0.001
0.0044038,1.0042,-0.0033865,0,-2.0173,-4.5912,0.001
0.0061,1.0035,-0.0046457,0,-2.1265,-4.3867,0.001
0.0081525,1.0028,-0.0055876,0,-2.2357,-4.1823,0.001
0.01061,1.0022,-0.0061758,0,-2.3449,-3.9779,0.001
0.013518,1.0017,-0.0063626,0,-2.4541,-3.7735,0.001
0.016918,1.0011,-0.0060954,0,-2.5633,-3.569,0.001
0.020842,1.0007,-0.0053244,0,-2.6724,-3.3646,0.001
0.025313,1.0003,-0.0040206,0,-2.7816,-3.1602,0.001
0.030354,1.0001,-0.0022425,0,-2.8908,-2.9558,0.001
0.030416,1,0,0,-3,-2.9558,0.001
0.0018752,1.006,0,0,-1.799,-5,0.001
0.0020115,1.0061,-0.0019835,0,-1.799,-4.7956,0.001
0.0034611,1.0052,-0.0037114,0,-1.9081,-4.5912,0.001
0.0052122,1.0044,-0.0051757,0,-2.0173,-4.3867,0.001
0.00732,1.0037,-0.0063525,0,-2.1265,-4.1823,0.001
0.0098374,1.0031,-0.0072057,0,-2.2357,-3.9779,0.001
0.012815,1.0024,-0.007685,0,-2.3449,-3.7735,0.001
0.016299,1.0018,-0.0077299,0,-2.4541,-3.569,0.001
0.020331,1.0013,-0.0072766,0,-2.5633,-3.3646,0.001
0.024939,1.0008,-0.0062687,0,-2.6724,-3.1602,0.001
0.030141,1.0004,-0.0046779,0,-2.7816,-2.9558,0.001
0.035957,1.0001,-0.0025808,0,-2.8908,-2.7513,0.001
0.036023,1,0,0,-3,-2.7513,0.001
0.00080261,1.0071,0,0,-1.6898,-5,0.001
0.00092699,1.0072,-0.0021194,0,-1.6898,-4.7956,0.001
0.0024268,1.0063,-0.0040128,0,-1.799,-4.5912,0.001
0.0042217,1.0055,-0.0056738,0,-1.9081,-4.3867,0.001
0.0063727,1.0047,-0.00708,0,-2.0173,-4.1823,0.001
0.0089383,1.004,-0.0081963,0,-2.1265,-3.9779,0.001
0.011973,1.0034,-0.0089723,0,-2.2357,-3.7735,0.001
0.015529,1.0027,-0.0093433,0,-2.3449,-3.569,0.001
0.019652,1.002,-0.0092353,0,-2.4541,-3.3646,0.001
0.02438,1.0014,-0.0085744,0,-2.5633,-3.1602,0.001
0.029736,1.0008,-0.0072994,0,-2.6724,-2.9558,0.001
0.035729,1.0004,-0.0053872,0,-2.7816,-2.7513,0.001
0.042372,1.0001,-0.0029397,0,-2.8908,-2.5469,0.001
0.042441,1,0,0,-3,-2.5469,0.001
-0.0003446,1.0083,0,0,-1.5806,-5,0.001
-0.0002332,1.0083,-0.0022415,0,-1.5806,-4.7956,0.001
0.0013068,1.0074,-0.0042884,0,-1.6898,-4.5912,0.001
0.0031336,1.0066,-0.0061363,0,-1.799,-4.3867,0.001
0.0053142,1.0058,-0.0077645,0,-1.9081,-4.1823,0.001
0.0079133,1.0051,-0.0091398,0,-2.0173,-3.9779,0.001
0.010992,1.0044,-0.010213,0,-2.1265,-3.7735,0.001
0.014606,1.0037,-0.010917,0,-2.2357,-3.569,0.001
0.018807,1.0029,-0.011173,0,-2.3449,-3.3646,0.001
0.023638,1.0022,-0.010893,0,-2.4541,-3.1602,0.001
0.02913,1.0015,-0.0099942,0,-2.5633,-2.9558,0.001
0.035296,1.0009,-0.0084139,0,-2.6724,-2.7513,0.001
0.042133,1.0004,-0.0061409,0,-2.7816,-2.5469,0.001
0.049641,1.0001,-0.0033116,0,-2.8908,-2.3425,0.001
0.049711,1,0,0,-3,-2.3425,0.001
-0.0015593,1.0095,0,0,-1.4714,-5,0.001
-0.0014619,1.0096,-0.0023488,0,-1.4714,-4.7956,0.001
0.00010785,1.0086,-0.004536,0,-1.5806,-4.5912,0.001
0.0019542,1.0078,-0.0065596,0,-1.6898,-4.3867,0.001
0.0041499,1.0071,-0.0084008,0,-1.799,-4.1823,0.001
0.0067661,1.0063,-0.010029,0,-1.9081,-3.9779,0.001
0.0098708,1.0056,-0.011396,0,-2.0173,-3.7735,0.001
0.013527,1.0049,-0.012437,0,-2.1265,-3.569,0.001
0.017792,1.0041,-0.013068,0,-2.2357,-3.3646,0.001
0.022712,1.0032,-0.013194,0,-2.3449,-3.1602,0.001
0.028323,1.0024,-0.012712,0,-2.4541,-2.9558,0.001
0.034647,1.0016,-0.011534,0,-2.5633,-2.7513,0.001
0.041679,1.0009,-0.0096014,0,-2.6724,-2.5469,0.001
0.049398,1.0004,-0.006924,0,-2.7816,-2.3425,0.001
0.057784,1.0001,-0.0036844,0,-2.8908,-2.1381,0.001
0.057852,1,0,0,-3,-2.1381,0.001
-0.0028336,1.0108,0,0,-1.3622,-5,0.001
-0.0027512,1.0109,-0.0024403,0,-1.3622,-4.7956,0.001
-0.0011627,1.0099,-0.0047537,0,-1.4714,-4.5912,0.001
0.00069027,1.0091,-0.0069404,0,-1.5806,-4.3867,0.001
0.0028858,1.0084,-0.0089839,0,-1.6898,-4.1823,0.001
0.0055016,1.0077,-0.010857,0,-1.799,-3.9779,0.001
0.0086132,1.007,-0.012514,0,-1.9081,-3.7735,0.001
0.012292,1.0062,-0.013891,0,-2.0173,-3.569,0.001
0.016602,1.0054,-0.014904,0,-2.1265,-3.3646,0.001
0.021596,1.0045,-0.015451,0,-2.2357,-3.1602,0.001
0.027314,1.0035,-0.015418,0,-2.3449,-2.9558,0.001
0.03378,1.0026,-0.014691,0,-2.4541,-2.7513,0.001
0.040995,1.0017,-0.01318,0,-2.5633,-2.5469,0.001
0.048934,1.0009,-0.010839,0,-2.6724,-2.3425,0.001
0.057546,1.0004,-0.0077112,0,-2.7816,-2.1381,0.001
0.066785,1.0001,-0.0040397,0,-2.8908,-1.9336,0.001
0.066847,1,0,0,-3,-1.9336,0.001
-0.0041593,1.0121,0,0,-1.253,-5,0.001
-0.0040928,1.0122,-0.0025153,0,-1.253,-4.7956,0.001
-0.0024968,1.0113,-0.0049397,0,-1.3622,-4.5912,0.001
-0.00065066,1.0105,-0.0072754,0,-1.4714,-4.3867,0.001
0.001529,1.0098,-0.0095091,0,-1.5806,-4.1823,0.001
0.0041263,1.0091,-0.011617,0,-1.6898,-3.9779,0.001
0.007224,1.0084,-0.013557,0,-1.799,-3.7735,0.001
0.010902,1.0077,-0.015268,0,-1.9081,-3.569,0.001
0.015235,1.0068,-0.016666,0,-2.0173,-3.3646,0.001
0.020283,1.0059,-0.017645,0,-2.1265,-3.1602,0.001
0.026094,1.0049,-0.018083,0,-2.2357,-2.9558,0.001
0.032692,1.0038,-0.017848,0,-2.3449,-2.7513,0.001
0.040081,1.0027,-0.016817,0,-2.4541,-2.5469,0.001
0.048235,1.0017,-0.014904,0,-2.5633,-2.3425,0.001
0.057092,1.0009,-0.012089,0,-2.6724,-2.1381,0.001
0.066568,1.0004,-0.0084644,0,-2.7816,-1.9336,0.001
0.07658,1.0001,-0.0043521,0,-2.8908,-1.7292,0.001
0.07663,1,0,0,-3,-1.7292,0.001
-0.0055276,1.0134,0,0,-1.1438,-5,0.001
-0.0054778,1.0136,-0.002573,0,-1.1438,-4.7956,0.001
-0.0038859,1.0126,-0.0050922,0,-1.253,-4.5912,0.001
-0.0020603,1.0119,-0.0075619,0,-1.3622,-4.3867,0.001
8.7394e-05,1.0112,-0.0099718,0,-1.4714,-4.1823,0.001
0.0026473,1.0106,-0.012303,0,-1.5806,-3.9779,0.001
0.0057096,1.01,-0.014517,0,-1.6898,-3.7735,0.001
0.0093634,1.0093,-0.016557,0,-1.799,-3.569,0.001
0.013693,1.0085,-0.01834,0,-1.9081,-3.3646,0.001
0.018771,1.0076,-0.019759,0,-2.0173,-3.1602,0.001
0.024653,1.0065,-0.020685,0,-2.1265,-2.9558,0.001
0.031371,1.0053,-0.020971,0,-2.2357,-2.7513,0.001
0.038928,1.004,-0.020469,0,-2.3449,-2.5469,0.001
0.047295,1.0028,-0.019053,0,-2.4541,-2.3425,0.001
0.056405,1.0017,-0.016653,0,-2.5633,-2.1381,0.001
0.066151,1.0009,-0.013292,0,-2.6724,-1.9336,0.001
