# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
1            	((-1.198245e-02 -9.692131e-02 3.796856e-21) (1.223239e-04 -7.592347e-06 2.258355e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.376388e-22 1.509536e-21 3.968037e-02) (-4.683635e-23 5.533664e-22 5.936851e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
2            	((-4.320338e-03 -4.434937e-02 1.594878e-21) (1.175388e-04 8.626221e-07 -1.040700e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.073350e-23 7.573921e-22 1.749025e-02) (1.852999e-24 -2.176974e-23 2.793935e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
3            	((-1.392447e-03 -2.458660e-02 1.358899e-21) (1.133844e-04 7.194865e-06 -6.119019e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.783453e-23 6.221020e-22 9.135155e-03) (1.261446e-24 -1.475128e-23 -1.670687e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
4            	((-9.581819e-04 -2.176758e-02 1.380597e-21) (1.068380e-04 7.798932e-06 2.341417e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.613884e-23 6.070342e-22 8.000578e-03) (-5.019184e-25 6.033653e-24 -7.145550e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
5            	((-6.701912e-04 -1.950213e-02 1.284703e-21) (9.980952e-05 6.544560e-06 7.434676e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.123805e-23 5.553111e-22 7.170782e-03) (-1.797284e-25 2.114816e-24 -3.852652e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
6            	((-5.652067e-04 -1.822054e-02 1.196149e-21) (9.338056e-05 5.887140e-06 1.754494e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.688752e-23 5.092187e-22 6.750495e-03) (-3.787782e-25 4.471958e-24 -3.467280e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
7            	((-6.287670e-04 -1.856361e-02 1.080435e-21) (8.706054e-05 5.507922e-06 4.837589e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.405481e-23 4.762147e-22 6.927678e-03) (-1.044672e-24 1.232770e-23 -4.206758e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
8            	((-6.908843e-04 -1.892333e-02 9.980074e-22) (8.069933e-05 4.958514e-06 5.386335e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.215105e-23 4.537937e-22 7.097355e-03) (-1.154256e-24 1.362838e-23 -3.779340e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
9            	((-6.733124e-04 -1.859407e-02 9.898895e-22) (7.466793e-05 4.586577e-06 5.274240e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.154390e-23 4.475797e-22 6.966593e-03) (-1.103959e-24 1.306779e-23 -3.944774e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
10           	((-5.730093e-04 -1.810704e-02 9.277843e-22) (6.877832e-05 4.367689e-06 6.032876e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.057312e-23 4.351119e-22 6.725017e-03) (-1.286573e-24 1.529083e-23 -4.775981e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
11           	((-2.541879e-04 -1.615067e-02 9.312157e-22) (6.132473e-05 4.184253e-06 4.642261e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.995760e-23 4.294134e-22 5.874417e-03) (-9.744790e-25 1.172665e-23 -5.965440e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
12           	((-2.278701e-04 -1.558726e-02 9.820092e-22) (5.536840e-05 4.011985e-06 4.949273e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.064609e-23 4.386035e-22 5.630230e-03) (-1.028887e-24 1.227213e-23 -6.934355e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
