# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
1            	((-2.396493e-02 -1.938459e-01 7.593715e-21) (2.793445e-04 -1.763930e-05 6.589736e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.752777e-22 3.019072e-21 7.936242e-02) (-1.379501e-22 1.633473e-21 1.362989e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
2            	((-1.269731e-02 -1.301581e-01 5.030602e-21) (2.992548e-04 2.738721e-08 3.056399e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.155054e-22 2.316401e-21 5.115474e-02) (-1.048676e-25 1.868625e-24 8.641428e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
3            	((-7.910712e-03 -1.047653e-01 4.965669e-21) (3.195316e-04 1.502215e-05 2.391829e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.152832e-22 2.310934e-21 3.982542e-02) (-5.092718e-24 6.113253e-23 2.267714e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
4            	((-5.775085e-03 -9.007323e-02 5.288176e-21) (3.209079e-04 2.059796e-05 6.515031e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.146845e-22 2.321842e-21 3.374240e-02) (-1.341895e-24 1.647557e-23 -5.672068e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
5            	((-4.376322e-03 -8.104117e-02 5.255987e-21) (3.160256e-04 2.156097e-05 7.101564e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.068769e-22 2.245657e-21 3.021893e-02) (-1.519852e-24 1.850966e-23 -1.521383e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
6            	((-3.702918e-03 -7.652477e-02 5.173316e-21) (3.066042e-04 1.990482e-05 7.652248e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.974361e-22 2.151278e-21 2.867535e-02) (-1.599668e-24 1.910482e-23 -1.252113e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
7            	((-3.790015e-03 -7.862106e-02 4.781736e-21) (2.945323e-04 1.912653e-05 1.371610e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.877879e-22 2.038998e-21 2.966220e-02) (-2.990074e-24 3.514133e-23 -1.460693e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
8            	((-3.980264e-03 -8.157542e-02 4.409826e-21) (2.784728e-04 1.831462e-05 1.519210e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.790021e-22 1.935963e-21 3.097652e-02) (-3.303107e-24 3.880090e-23 -1.610890e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
9            	((-4.068379e-03 -8.411184e-02 4.152287e-21) (2.632738e-04 1.710684e-05 1.917501e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.747877e-22 1.882460e-21 3.198674e-02) (-4.121193e-24 4.857157e-23 -1.522772e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
10           	((-3.583632e-03 -8.255736e-02 3.863359e-21) (2.458911e-04 1.585361e-05 1.796697e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.687166e-22 1.809615e-21 3.124666e-02) (-3.858926e-24 4.540737e-23 -1.412672e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
