# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
1            	((-5.991166e-04 -4.844705e-03 1.898434e-22) (3.768245e-06 -2.100584e-07 4.203287e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.881951e-24 7.547691e-23 1.983315e-03) (-8.321589e-25 9.790534e-24 1.692540e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
2            	((-1.126656e-04 -9.619926e-04 4.365858e-23) (4.314716e-06 1.528133e-07 -7.864736e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.558239e-24 1.712450e-23 3.909285e-04) (1.553929e-24 -1.825154e-23 6.210411e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
3            	((-1.747520e-05 -2.135099e-04 2.030313e-23) (1.969240e-06 3.170277e-07 -1.492933e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.890817e-25 6.669586e-24 8.437507e-05) (2.940619e-25 -3.511972e-24 -4.945627e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
4            	((1.322616e-05 1.161111e-05 4.161285e-24) (1.618112e-06 5.792978e-08 -4.611189e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.314532e-25 1.469276e-24 -8.608278e-06) (8.659508e-26 -1.030066e-24 4.468009e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
5            	((9.349684e-06 -1.324120e-05 1.887308e-24) (1.977938e-06 5.077097e-08 4.874043e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.017388e-25 1.068425e-24 1.636673e-06) (-1.251873e-26 1.409771e-25 1.537273e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
6            	((-1.813257e-06 -8.178204e-05 3.116548e-24) (2.245866e-06 6.029338e-08 1.383725e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.531183e-25 1.622227e-24 3.074994e-05) (-2.884025e-26 3.336508e-25 1.970000e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
7            	((-4.735563e-06 -9.441007e-05 4.396912e-24) (2.352051e-06 7.328303e-08 7.223200e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.773656e-25 1.919676e-24 3.657798e-05) (-1.442908e-26 1.702997e-25 1.879851e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
8            	((-5.004739e-06 -9.529409e-05 4.381220e-24) (2.418057e-06 8.318352e-08 6.677100e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.768287e-25 1.913742e-24 3.702006e-05) (-1.397778e-26 1.652429e-25 1.657091e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
9            	((-4.782051e-06 -9.375465e-05 4.108369e-24) (2.457865e-06 8.859021e-08 7.096777e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.713053e-25 1.846954e-24 3.639139e-05) (-1.498003e-26 1.774767e-25 1.512705e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
10           	((-3.988069e-06 -8.827374e-05 3.927319e-24) (2.470999e-06 9.297102e-08 6.364800e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.654925e-25 1.782137e-24 3.411279e-05) (-1.343538e-26 1.597911e-25 1.331511e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
11           	((-2.853870e-06 -8.155080e-05 3.908082e-24) (2.465393e-06 9.751930e-08 6.218154e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.623823e-25 1.751456e-24 3.126694e-05) (-1.307815e-26 1.559486e-25 1.092482e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
12           	((-2.850160e-06 -8.174104e-05 3.862617e-24) (2.465391e-06 1.022094e-07 7.265912e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.620123e-25 1.745581e-24 3.131723e-05) (-1.528608e-26 1.810439e-25 8.544127e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
13           	((-2.774493e-06 -8.186199e-05 3.858584e-24) (2.458230e-06 1.045537e-07 6.994924e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.620281e-25 1.745524e-24 3.134482e-05) (-1.474951e-26 1.744688e-25 7.224040e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
14           	((-2.652152e-06 -8.066658e-05 3.906394e-24) (2.447502e-06 1.075549e-07 6.513609e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.616802e-25 1.744668e-24 3.087717e-05) (-1.369663e-26 1.621523e-25 5.546424e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
15           	((-2.496958e-06 -7.937208e-05 3.842462e-24) (2.434429e-06 1.098006e-07 6.747862e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.595703e-25 1.721233e-24 3.034704e-05) (-1.423057e-26 1.684984e-25 4.145353e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
16           	((-2.292246e-06 -7.787408e-05 3.761266e-24) (2.419590e-06 1.115264e-07 6.792495e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.572128e-25 1.694543e-24 2.971959e-05) (-1.434061e-26 1.698400e-25 2.937144e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
17           	((-2.076653e-06 -7.634552e-05 3.717798e-24) (2.403398e-06 1.129178e-07 6.736666e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.555105e-25 1.676054e-24 2.907761e-05) (-1.420938e-26 1.682977e-25 1.860213e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
18           	((-1.877813e-06 -7.495995e-05 3.698906e-24) (2.386686e-06 1.139565e-07 6.742822e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.543640e-25 1.664137e-24 2.849345e-05) (-1.421205e-26 1.683300e-25 9.439809e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
19           	((-1.695538e-06 -7.375045e-05 3.666445e-24) (2.369717e-06 1.146773e-07 6.830431e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.531478e-25 1.650854e-24 2.797656e-05) (-1.439777e-26 1.705195e-25 1.734414e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
20           	((-1.517455e-06 -7.255807e-05 3.624375e-24) (2.352435e-06 1.151064e-07 6.843855e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.517556e-25 1.635396e-24 2.746613e-05) (-1.443125e-26 1.708918e-25 -4.629949e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
21           	((-1.346572e-06 -7.139278e-05 3.588682e-24) (2.335208e-06 1.152767e-07 6.853985e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.505061e-25 1.621629e-24 2.696698e-05) (-1.445073e-26 1.711237e-25 -9.719549e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
22           	((-1.183221e-06 -7.028384e-05 3.553845e-24) (2.317811e-06 1.152160e-07 6.890970e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.493369e-25 1.608673e-24 2.648957e-05) (-1.452848e-26 1.720408e-25 -1.373420e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
23           	((-1.017449e-06 -6.916054e-05 3.530218e-24) (2.300200e-06 1.149462e-07 6.883882e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.484051e-25 1.598560e-24 2.600483e-05) (-1.450896e-26 1.718249e-25 -1.679946e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
